"ID","Year","StateID","Jan","Feb","Mar","Apr","May","June","July","Aug","Sept","Oct","Nov","Dec"
"0100022002",2002,10,23.2,23.9,30.1,41.5,48.7,58.8,69,61.8,55.9,41,32.8,28.8
"0100022003",2003,10,31.4,27.1,36.3,40.8,49.9,59.1,70.4,67.7,56.7,48.7,28.2,28.1
"0100022004",2004,10,22.8,26.3,39.3,44.6,48.9,58.4,66.3,63.7,53.7,44.6,32.7,28.5
"0100022005",2005,10,26.5,28.5,35.9,41.7,49.9,54.3,66.8,64.8,54.1,45.5,32,23
"0100022006",2006,10,27.9,24.4,32.4,42.8,51.8,60.6,70.1,63.7,55.1,43,33.1,25.3
"0100022007",2007,10,20.7,30.8,38.9,43,52,59.6,72,65.4,54.9,43.1,33.5,23.4
"0100022008",2008,10,19.9,27.6,30.3,36.3,48.9,56.3,66.5,64.8,55.5,44.5,37.1,22.6
"0100022009",2009,10,25,27.6,31.4,40.7,50.8,56.3,65.8,63.8,60.1,39.5,33,19.8
"0100022010",2010,10,28.2,28.9,35.2,40,44.1,55.5,64.2,62.8,56.4,47.5,30.5,26.6
"0100022011",2011,10,24,24.3,33.4,36.4,45.8,54,64.3,66.1,59.6,45.4,30.5,24.8
"0100022012",2012,10,26.8,28,36.4,44.4,49,56.9,68.5,67.3,58.4,43.7,36,25.8
"0100022013",2013,10,20.2,27.5,35.1,40.1,51,59.3,69.6,67.6,57.1,42.1,33.8,21.1
"0100022014",2014,10,27.7,28,36.2,41.6,51.6,56.7,69.3,63.8,57.6,48.5,31.1,29.1
"0100022015",2015,10,28.7,35.2,40.8,42.3,51.8,64.7,65.1,65.8,57.2,50.7,29.9,24.3
"0100022016",2016,10,25.8,31.9,37,47,50.6,61.2,64.8,64.7,54.6,45.7,38.7,19.1
"0100022017",2017,10,18.5,29.5,38.5,40.3,50.6,59.1,70,66.9,55.7,41.9,34.9,25.2
"0100022018",2018,10,30.4,26.2,33.7,42.4,54,57.7,68.4,65,56.2,44,32,24.3
"0100022019",2019,10,26.3,23.2,32.4,42.9,49.8,57.2,65.5,66,55,36.6,34.3,26.6
"0110021998",1998,11,31.8,40,40.6,52.6,67.4,71.8,75.4,74.8,70.9,56.6,45.6,35.1
"0110021999",1999,11,25.1,37.4,38.3,54.3,64.1,72.2,78.6,71.7,65.2,54.5,48.4,32.6
"0110022000",2000,11,27.3,37.4,46.2,51.5,65.1,70.3,73.2,74.6,66.3,58,38.9,17.6
"0110022001",2001,11,25.7,30.9,37.1,57.6,64.8,69.8,75.9,74.6,64.4,53.8,49.9,35.8
"0110022002",2002,11,33.6,34.6,37.8,53.5,59.1,73.9,78.2,75,69.3,52.1,39.6,32.2
"0110022003",2003,11,22.8,26.4,41.6,53.5,61.1,67.9,74.7,75.3,64.1,54.5,44.8,33.8
"0110022004",2004,11,24.7,30,45.4,54.1,65.7,70,72.8,68.6,67.7,55.4,45.6,31
"0110022005",2005,11,29.2,36.1,39,55.4,60.9,75,76.3,75.6,70.7,55.7,44.5,26
"0110022006",2006,11,38.1,30.9,41.8,57,62.3,71.4,77.1,74.7,63.7,51.3,44.4,35.3
"0110022007",2007,11,30.3,21.7,48,50.2,67.6,72.7,73.3,78.2,69.8,59.9,42.2,30.2
"0110022008",2008,11,26.9,26,39,51.4,59,73.2,74.5,71.8,67.1,54.2,41.1,26.8
"0110022009",2009,11,20.6,32.5,43.6,51.4,62.8,72.7,70.3,70.9,65.9,50.1,47.2,29.1
"0110022010",2010,11,21.5,25.7,43.8,58.7,64.3,74.9,77.6,76.8,67.2,56.5,43.7,24
"0110022011",2011,11,22.7,30.2,41.6,53.1,62.1,72.9,79.9,74.8,63.6,55.2,45.8,35.9
"0110022012",2012,11,31.9,35.8,55.5,54.6,68.1,72.6,81.8,73.6,64.9,52.5,41.2,36.8
"0110022013",2013,11,29.2,29.9,34.3,50.2,63.9,71.5,73.1,72.8,68.6,54.5,38.8,26.2
"0110022014",2014,11,19.3,19.4,34.4,52.4,63.7,73,70.3,73.8,64.7,54.3,34.6,33.9
"0110022015",2015,11,25.7,19.4,38.3,54.3,64.9,71.7,74.2,71.8,70.4,56,46.6,41.1
"0110022016",2016,11,26.9,33.8,47.3,53,62,74.8,75.6,75.7,70.8,59.9,48.1,28.9
"0110022017",2017,11,32.1,41.1,43.2,56.5,61.9,72.7,76.1,70.5,68.8,58.1,41.9,29.8
"0110022018",2018,11,24.1,31.8,39.2,44.8,70.7,74.9,75,74.7,70.3,54.2,35.6,34.4
"0110022019",2019,11,25.4,29.3,37.3,52.5,62.5,70.9,77.4,72.8,71.6,53.7,36.2,35.6
"0120021998",1998,12,34.8,39.4,41.3,52.4,66.4,71.1,73.6,73.7,69.6,55.7,44.9,36.4
"0120021999",1999,12,27,36.4,36.7,53.6,63.6,72,77.9,71.2,65.6,53.7,47.8,33
